Crime,Datetime,Description,Location_x,Neighborhood_x,Suspect Actions,Weapon,Number,@Photos,norm_date,Dr No,Area ID,Area Name,Crm Cd,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Crm Cd Desc,Cross Street,Date Occ,Date Rp Td,Latitude,Location_y,Location 1,Longitude,Mo Codes,Neighborhood_y,Neighborhood Council,Prem Is Cd,Prem Is Desc,Rpt Dist No,Status,Status Desc,Time Occ,Tract,Vict Age,Vict Descent,Vict Sex,Weapon Desc,Weapon Used Cd,Zip Code
Vandalism,3 p.m. October 4,"The suspect vandalized the property of a local cemetery, causing $399 worth of damage or less. ","1200 block of Glendon Ave., Los Angeles",Westwood ,,No weapon used ,247.0,HC-247_1.png,2019-10-04,190816865.0,,West LA,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-10-04T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.0591,1200 GLENDON AV,0101000020E61000006A4DF38E539C5DC0C898BB9690074140,-118.4426,0903 1822 0329,westwood,63.0,141.0,CEMETARY*,833.0,IC ,Invest Cont,1500.0,265510.0,73.0,W,M,,,90024.0
Criminal threats,8:15 p.m. October 4,The suspect threatened to kill the 68-year-old black male victim by sending him a threatening email or text message.,"9700 block of Clovis Ave., Los Angeles",Green Meadows,,Verbal threat,248.0,HC-247.png,2019-10-04,191820867.0,,Southeast,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-04T00:00:00.000-07:00,2019-10-04T00:00:00.000-07:00,33.9484,9700 CLOVIS AV,0101000020E610000023DBF97E6A905DC061C3D32B65F94040,-118.2565,1202 0903 0421 1912,green-meadows,87.0,501.0,SINGLE FAMILY DWELLING,1824.0,IC ,Invest Cont,2015.0,240700.0,68.0,B,M,VERBAL THREAT,511.0,90002.0
Criminal threats,9 p.m. October 5,"The suspect threatened to harm, but not kill, the 16-year-old Hispanic male victim, who was targeted because of his gender nonconformity. The crime was also classified by the LAPD as a hate crime with an ""Anti-Gay (Male)"" bias. ","3000 block of Lanfranco St., Los Angeles",Boyle Heights,,Verbal threat,249.0,HC-248.png,2019-10-05,190415415.0,,Hollenbeck,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-05T00:00:00.000-07:00,2019-10-07T00:00:00.000-07:00,34.0346,3000 LANFRANCO ST,0101000020E6100000D3BCE3141D8D5DC08638D6C56D044140,-118.2049,0903 0443 2058 1536,boyle-heights,50.0,501.0,SINGLE FAMILY DWELLING,465.0,IC ,Invest Cont,2100.0,204300.0,16.0,H,M,VERBAL THREAT,511.0,90063.0
Other assault ,10:25 a.m. October 9,"The suspect spat at the 21-year-old Hispanic female victim, who was targeted because of her gender nonconformity. The crime was also classified by the LAPD as a hate crime with an ""Anti-Lesbian"" bias. ","6100 block of Wilshire Blvd., Los Angeles",Beverly Grove,,Strong arm,251.0,HC-251.png,2019-10-09,190717795.0,,Wilshire,625.0,625.0,946.0,,,OTHER ASSAULT,,2019-10-09T00:00:00.000-07:00,2019-10-09T00:00:00.000-07:00,34.0665,6100 WILSHIRE BL,0101000020E6100000E5F21FD26F975DC08D976E1283084140,-118.3662,0356 1822 0903 2058 1538,beverly-grove,58.0,102.0,SIDEWALK,732.0,IC ,Invest Cont,1025.0,214700.0,21.0,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90048.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 57-year-old black male victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,252.0,HC-252.png,2019-10-10,191016232.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,33.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 57-year-old black male victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,252.0,HC-252.png,2019-10-10,191016231.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,57.0,B,M,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 57-year-old black male victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,252.0,HC-252.png,2019-10-10,191016230.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,24.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 57-year-old black male victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,252.0,HC-252.png,2019-10-10,191016228.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,48.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 33-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,253.0,HC-252.png,2019-10-10,191016232.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,33.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 33-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,253.0,HC-252.png,2019-10-10,191016231.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,57.0,B,M,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 33-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,253.0,HC-252.png,2019-10-10,191016230.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,24.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 33-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,253.0,HC-252.png,2019-10-10,191016228.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,48.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 48-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,254.0,HC-252.png,2019-10-10,191016232.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,33.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 48-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,254.0,HC-252.png,2019-10-10,191016231.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,57.0,B,M,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 48-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,254.0,HC-252.png,2019-10-10,191016230.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,24.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 48-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,254.0,HC-252.png,2019-10-10,191016228.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,48.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 24-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,255.0,HC-252.png,2019-10-10,191016232.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,33.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 24-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,255.0,HC-252.png,2019-10-10,191016231.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,57.0,B,M,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 24-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,255.0,HC-252.png,2019-10-10,191016230.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,24.0,H,F,VERBAL THREAT,511.0,91406.0
Criminal threats,7:30 a.m. October 10,The suspect threatened the 24-year-old Hispanic female victim in a multi-unit dwelling. ,"15800 block of Saticoy St., Los Angeles ",Van Nuys,,Verbal threat,255.0,HC-252.png,2019-10-10,191016228.0,,West Valley,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-10-10T00:00:00.000-07:00,2019-10-10T00:00:00.000-07:00,34.2085,15800 SATICOY ST,0101000020E6100000FB3A70CE889E5DC0A69BC420B01A4140,-118.4771,0903,van-nuys,19.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1018.0,AA ,Adult Arrest,730.0,127400.0,48.0,H,F,VERBAL THREAT,511.0,91406.0
Aggravated assault,9:35 a.m. October 11,"The suspect verbally intimidated, used profanities against and threatened to kill the 54-year-old black male victim, who was homeless or transient. The crime was classified by the LAPD as a hate crime with an ""Anti-Black or African American"" bias.  ","600 block of S Coronado St., Los Angeles ",Westlake,,Hammer,257.0,HC-257.png,2019-10-11,190219871.0,,Rampart,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-11T00:00:00.000-07:00,2019-10-11T00:00:00.000-07:00,34.0628,600 S CORONADO ST,0101000020E6100000F5B9DA8AFD915DC02B1895D409084140,-118.2811,1218 0334 0432 1514 0319 0445 1822 0903 0421,westlake,53.0,101.0,STREET,251.0,IC ,Invest Cont,935.0,208720.0,54.0,B,M,HAMMER,311.0,90057.0
Battery -- simple assault,2 p.m. October 12,"The suspect hit and pulled the hair of the 23-years-old transgender Hispanic victim. The crime was classified by the LAPD as a hate crime with an ""anti-gender nonconformity"" bias. The suspect spoke Spanish. ","8200 block of San Pedro St., Los Angeles",Florence,,Strong arm,259.0,,2019-10-12,191224659.0,,77th Street,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-10-12T00:00:00.000-07:00,2019-10-12T00:00:00.000-07:00,33.964,8200 S SAN PEDRO ST,0101000020E6100000F697DD9387915DC008AC1C5A64FB4040,-118.2739,0319 1300 0369 0329 0419 0416 2036 2058 1510 0903,florence,86.0,101.0,STREET,1268.0,IC ,Invest Cont,1400.0,239702.0,23.0,H,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90003.0
Battery -- simple assault,4 p.m. October 12,The suspect used hate-related language and racial slurs against the 28-year-old black male victim and knocked him to the ground. The suspect also bit him and used a vehicle for the crime. The victim was a delivery person. ,"1200 block of W. 36th Pl., Los Angeles ",Exposition Park,,Strong arm,260.0,HC-259.png,2019-10-12,190322547.0,,Southwest,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-10-12T00:00:00.000-07:00,2019-10-12T00:00:00.000-07:00,34.0221,1200 W 36TH PL,0101000020E610000050FC1873D7925DC0ED9E3C2CD4024140,-118.2944,0356 0400 0401 0429 0903 1227 1309 1822 2035 2036,exposition-park,773.0,101.0,STREET,357.0,IC ,Invest Cont,1600.0,222600.0,28.0,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90007.0
Vandalism,6 p.m. October 14,"The suspect vandalized a local recycling center, causing $399 worth of damage or less. The victim was reported as a 48-year-old black man. ","9700 Woodman Ave., Los Angeles",Panorama City,,No weapon used,261.0,HC-261.png,2019-10-14,191917954.0,,Mission,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-10-14T00:00:00.000-07:00,2019-10-15T00:00:00.000-07:00,34.2467,9700 WOODMAN AV,0101000020E610000038F8C264AA9C5DC02BF697DD931F4140,-118.4479,0329 0903,panorama-city,6.0,251.0,RECYCLING CENTER,1958.0,IC ,Invest Cont,1800.0,119201.0,48.0,B,M,,,91331.0
Aggravated assault,12:20 p.m. October 16,"Mutiple suspects overwhelmed the 60-year-old black male victim, who was homeless or transient. They used racial slurs against him, threatened to harm him and bit him.","700 block of Echo Park Ave., Los Angeles",Echo Park,,Strong arm,262.0,HC-262.png,2019-10-16,190220117.0,,Rampart,230.0,230.0,946.0,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-16T00:00:00.000-07:00,2019-10-16T00:00:00.000-07:00,34.0713,700 ECHO PARK AV,0101000020E61000005BB1BFEC9E905DC0371AC05B20094140,-118.2597,1202 0342 2035 0443 0447 0401 1309 0903 2004,echo-park,44.0,102.0,SIDEWALK,218.0,IC ,Invest Cont,1220.0,197500.0,60.0,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90026.0
Aggravated assault,9:10 p.m. October 18,The suspect threw an unknown object at the 19-year-old Hispanic female victim. ,"10600 block of Telfair Ave., Los Angeles",Pacoima,,Other weapon,263.0,HC-263.png,2019-10-18,191615467.0,,Foothill,230.0,230.0,946.0,998.0,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-18T00:00:00.000-07:00,2019-10-18T00:00:00.000-07:00,34.2626,10600 TELFAIR AV,0101000020E6100000BA490C022B9B5DC0FDF675E09C214140,-118.4245,1402 0416 0903 0447,pacoima,7.0,102.0,SIDEWALK,1643.0,IC ,Invest Cont,2110.0,104610.0,19.0,H,F,UNKNOWN WEAPON/OTHER WEAPON,500.0,91331.0
Aggravated assault,9:10 p.m. October 18,The suspect threw an unknown object at the 19-year-old Hispanic female victim. ,"10600 block of Telfair Ave., Los Angeles",Pacoima,,Other weapon,263.0,HC-263.png,2019-10-18,191615466.0,,Foothill,230.0,230.0,946.0,998.0,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-18T00:00:00.000-07:00,2019-10-18T00:00:00.000-07:00,34.2626,10600 TELFAIR AV,0101000020E6100000BA490C022B9B5DC0FDF675E09C214140,-118.4245,1402 0416 0903 0447,pacoima,7.0,102.0,SIDEWALK,1643.0,IC ,Invest Cont,2110.0,104610.0,23.0,B,M,UNKNOWN WEAPON/OTHER WEAPON,500.0,91331.0
Aggravated assault,9:10 p.m. October 18,The suspect threw an unknown object at the 23-year-old black male victim. ,"10600 block of Telfair Ave., Los Angeles",Pacoima,,Other weapon,264.0,HC-263.png,2019-10-18,191615467.0,,Foothill,230.0,230.0,946.0,998.0,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-18T00:00:00.000-07:00,2019-10-18T00:00:00.000-07:00,34.2626,10600 TELFAIR AV,0101000020E6100000BA490C022B9B5DC0FDF675E09C214140,-118.4245,1402 0416 0903 0447,pacoima,7.0,102.0,SIDEWALK,1643.0,IC ,Invest Cont,2110.0,104610.0,19.0,H,F,UNKNOWN WEAPON/OTHER WEAPON,500.0,91331.0
Aggravated assault,9:10 p.m. October 18,The suspect threw an unknown object at the 23-year-old black male victim. ,"10600 block of Telfair Ave., Los Angeles",Pacoima,,Other weapon,264.0,HC-263.png,2019-10-18,191615466.0,,Foothill,230.0,230.0,946.0,998.0,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-18T00:00:00.000-07:00,2019-10-18T00:00:00.000-07:00,34.2626,10600 TELFAIR AV,0101000020E6100000BA490C022B9B5DC0FDF675E09C214140,-118.4245,1402 0416 0903 0447,pacoima,7.0,102.0,SIDEWALK,1643.0,IC ,Invest Cont,2110.0,104610.0,23.0,B,M,UNKNOWN WEAPON/OTHER WEAPON,500.0,91331.0
Aggravated assault,6:30 a.m. October 20,"The suspect exited from their vehicle and aimed a gun at the 20-year-old Hispanic transgender male victim. The suspect also spoke Spanish, kicked and used profanities against him. The crime was also classified by the LAPD as a hate crime with an ""Anti-Transgender"" bias. ","600 block of South Rampart Blvd., Los Angeles",Westlake ,,Semi-automatic pistol,266.0,HC-266.png,2019-10-20,190200739.0,,Rampart,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-10-20T00:00:00.000-07:00,2019-10-20T00:00:00.000-07:00,34.0624,600 S RAMPART BL,0101000020E61000005917B7D100925DC09CA223B9FC074140,-118.2813,1239 0903 0302 1300 1313 0319 1510 0369 0417,westlake,54.0,108.0,PARKING LOT,251.0,IC ,Invest Cont,630.0,208720.0,20.0,H,M,SEMI-AUTOMATIC PISTOL,109.0,90057.0
Robbery,9:03 p.m. October 23,"The suspect pushed and kicked the 28-year-old white transgender male victim, knocking him to the ground. The suspect then removed properties from the victim, who was targeted because of his sexual orientation. The crime was also classified by the LAPD as a hate crime with an ""Anti-Transgender"" bias. ","700 block of North Broadway, Los Angeles",Chinatown,,Strong arm,267.0,HC-267.png,2019-10-23,190100961.0,,Central,210.0,210.0,,,,ROBBERY,,2019-10-23T00:00:00.000-07:00,2019-10-23T00:00:00.000-07:00,34.0604,700 N BROADWAY,0101000020E6100000B37BF2B0508F5DC0D656EC2FBB074140,-118.2393,0429 2054 1536 0903 0444 0417 0344 0416 0305,chinatown,46.0,102.0,SIDEWALK,111.0,IC ,Invest Cont,2103.0,207102.0,28.0,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90012.0
Vandalism,9:32 a.m. November 1,"The suspect sprayed graffiti on the property of a local high school, causing $399 worth of damage or less.","700 block of S Catalina St., Los Angeles",Koreatown,,No weapon used,271.0,HC-271.png,2019-11-01,192019271.0,,Olympic,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-11-01T00:00:00.000-07:00,2019-11-01T00:00:00.000-07:00,34.0598,700 S CATALINA ST,0101000020E61000009E5E29CB10935DC08126C286A7074140,-118.2979,0311 0329 0903,koreatown,55.0,721.0,HIGH SCHOOL,2035.0,IC ,Invest Cont,932.0,212304.0,0.0,X,X,,,90005.0
Criminal threats,4 p.m. November 1,"The suspect sent a threatening email or text messsage to a victim of unknown age, sex and ethnicity. ","6800 block of Hollywood Blvd., Los Angeles",Hollywood,,Verbal threat,272.0,HC-272.png,2019-11-01,190601253.0,,Hollywood,930.0,930.0,946.0,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-11-01T00:00:00.000-07:00,2019-11-01T00:00:00.000-07:00,34.1016,6800 HOLLYWOOD BL,0101000020E6100000EFC9C342AD955DC005A3923A010D4140,-118.3387,1912 0903,hollywood,29.0,203.0,OTHER BUSINESS,645.0,IC ,Invest Cont,1600.0,190100.0,0.0,X,X,VERBAL THREAT,511.0,90028.0
Aggravated assault,3:20 p.m. November 7,The suspect hit the 30-year-old Hispanic male victim with their car. The victim used racial slurs. ,"8200 block of Topanga Canyon Blvd., Los Angeles",Canoga Park ,,Vehicle ,278.0,HC-278.png,2019-11-07,192118267.0,,Topanga,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-11-07T00:00:00.000-08:00,2019-11-07T00:00:00.000-08:00,34.2139,8200 TOPANGA CANYON BL,0101000020E6100000EC2FBB270FA75DC0A54E4013611B4140,-118.6103,1309 0416 2030 0903,canoga-park,13.0,104.0,DRIVEWAY,2114.0,IC ,Invest Cont,1520.0,134304.0,30.0,H,M,VEHICLE,307.0,91304.0
